fragment_smiles,frequency,heavy_atoms,dummy_atoms,logp,mw,tpsa,hbd,hba,rotbonds,fsp3,n_atoms,o_atoms,s_atoms,halogen_count,aromatic_ring_count,aliphatic_ring_count,heterocycles_total,n_heterocycles_count,o_heterocycles_count,s_heterocycles_count,label_lipophilic,label_hydrophilic,label_amphiphilic,label_high_flexibility,label_high_mw,label_high_sp3,label_has_aromatic_ring,label_has_aliphatic_ring,label_high_hbd,label_high_hba,label_high_tpsa,label_low_tpsa,label_acidic,label_basic,label_zwitterionic,label_neutral,label_nucleophilic,label_electrophilic,label_strong_ewg,label_aromatic_ring,label_multi_aromatic,label_has_heterocycle,label_multi_heterocycle,label_n_heterocycle,label_o_heterocycle,label_s_heterocycle,label_has_halogen,label_high_halogen,label_nitrogen_rich,label_oxygen_rich,label_sulfur_rich,label_bioisostere,label_has_amide,label_has_ester
[5*]N1CCC2(CC1)CO2,12,8,1,0.3155,112.152,15.77,0,2,0,1.0,1,1,0,0,0,2,2,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
[13*]C1CNC[C@H]([13*])N1C,12,7,2,-0.7278,98.149,15.27,1,2,0,1.0,2,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
[14*]c1cc(C)c2ccc(F)cc2n1,12,12,1,1.85692,160.171,12.89,0,1,0,0.1,1,0,0,1,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
[16*]c1c[nH]c2ncnc(Cl)c12,12,10,1,0.7859,152.564,41.57,1,2,0,0.0,3,0,0,1,2,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0
[15*]C1CCSCC1N,12,7,1,0.7884,116.209,26.02,1,2,0,1.0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
[13*]C1CC(NC)c2ccccc2O1,12,12,1,1.605,162.212,21.259999999999998,1,2,1,0.4,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
[15*]C1(C#N)CC2CCC1O2,12,9,1,1.1692799999999999,122.14699999999998,33.019999999999996,0,2,0,0.8571428571428571,1,1,0,0,0,2,2,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
[14*]c1[nH]ncc1C#N,12,7,1,-0.5440200000000002,92.081,52.47,1,2,0,0.0,3,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
[8*]C(O)C(C)CO,12,6,1,-0.5175000000000001,89.11399999999999,40.46,2,2,2,1.0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[14*]c1nc(C)[nH]c1C=O,12,8,1,-0.29478,109.10799999999998,45.75,1,2,1,0.2,2,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
